NID,YR,SC,PR,GR,ED,LD,ER,IT,NPS,ITD
300175,2017,28,,9,42956,43007,240,O,,3.07E+13
300275,2018,20,,10,43320,43355,240,,,
300776,2018,21,,11,43343,43475,240,,,
301939,2017,40,,8,42956,43054,240,,,
302103,2018,38,,8,43320,43448,240,,,
305459,2018,25,,11,43320,43340,240,,,
305708,2017,24,,11,42956,43048,240,,,
305918,2018,31,,8,43320,43571,240,,,
307696,2018,251,I,12,43347,43371,240,I,,
308209,2018,40,,7,43320,43419,240,,,
308389,2018,20,,11,43320,43472,240,,,
308595,2017,21,,11,42976,43091,240,,,
310243,2017,20,,10,42956,43130,240,,,
310820,2017,40,,8,42956,43077,240,,,
311701,2017,35,,8,42956,43238,240,,,
314608,2018,40,,7,43488,43608,240,,,
314810,2018,20,,11,43516,43581,240,,,
316637,2017,23,,9,42956,43052,240,,,
317569,2017,32,,7,42956,43185,240,,,
317708,2017,28,,10,42956,42983,240,,,
318872,2017,24,,10,42956,43244,240,I,,3.07E+13
319006,2017,38,,7,43178,43209,240,,,
319231,2017,23,,9,43151,43203,240,,,
319454,2017,37,,7,42956,43067,240,,,
319564,2017,20,,10,42956,43167,240,,,
320677,2018,22,,11,43320,43521,240,I,,
320860,2018,38,S,8,43320,43419,240,,,
321228,2017,38,,8,43159,43209,240,,,
322094,2018,21,,9,43320,43413,240,,,
322453,2018,24,,10,43325,43392,240,,,
323487,2017,22,,10,42956,43244,240,,,
324393,2018,37,,7,43320,43420,240,,,
324502,2018,34,,7,43320,43322,240,,,
324744,2018,37,,8,43508,43518,240,,,
324824,2018,251,I,11,43496,43518,240,,,
325016,2018,21,,10,43320,43434,240,I,,
325043,2017,34,,8,43045,43189,240,O,,3.07E+13
325147,2018,20,,11,43322,43475,240,,,
325327,2018,27,N,9,43321,43608,240,6,,3.07E+13
325380,2017,28,,11,42956,43145,240,,,
328514,2017,35,,7,42962,43080,240,,,
329239,2018,21,,9,43350,43455,240,,,
329414,2018,37,,8,43320,43598,240,I,,3.07E+13
329814,2017,22,,9,42956,43119,240,,,
330555,2017,25,,9,42997,43075,240,,,
331250,2018,27,,11,43320,43608,240,O,,3.07E+13
332044,2017,40,S,8,42956,43147,240,I,,
332345,2018,22,,9,43320,43496,240,,,
332656,2018,38,,7,43320,43509,240,,,
334423,2018,40,,7,43320,43446,240,,,
334583,2017,31,,7,42956,43076,240,,,
335333,2017,24,,10,42968,43040,240,,,
335684,2018,31,,8,43320,43420,240,,,
337911,2017,20,,9,42956,43007,240,,,
338428,2017,20,,10,42956,43138,240,,,
338511,2017,44,,8,42956,42962,240,,,
339037,2018,20,,10,43320,43342,240,,,
339350,2017,31,,7,42956,43244,240,,,
340534,2017,32,,7,42956,43129,240,,,
340888,2018,37,,7,43320,43487,240,,,
341271,2017,24,,9,43034,43052,240,,,
341271,2017,24,,9,43152,43244,240,,,
341914,2018,35,,8,43325,43473,240,,,
343288,2017,251,I,11,43012,43056,240,,,
343374,2017,40,,7,42956,43131,240,,,
343405,2017,20,,10,42956,43214,240,,,
344306,2017,20,,10,42956,43035,240,,,
344551,2018,23,,10,43325,43434,240,,,
344649,2017,25,,10,42956,43168,240,,,
344727,2018,20,,9,43320,43434,240,,,
345422,2017,28,,11,42956,43116,240,,,
345510,2017,22,,11,42956,42972,240,,,
345623,2018,23,,11,43362,43412,240,,,
345826,2018,35,,7,43320,43608,240,,,
346039,2018,25,,11,43320,43420,240,,,
346058,2018,25,,12,43320,43602,240,,,
346927,2018,20,,11,43364,43544,240,I,,3.07E+13
347170,2018,21,,10,43320,43608,240,,,
347568,2018,20,,9,43320,43420,240,,,
347610,2018,35,,8,43320,43581,240,,,
348056,2017,32,,8,43011,43048,240,,,
348927,2017,31,,8,42975,43014,240,,,
348961,2018,32,S,8,43320,43479,240,,,
349352,2017,24,,9,43046,43083,240,,,
349755,2018,24,,11,43320,43444,240,,,
350161,2017,35,,8,42956,43210,240,,,
351167,2018,21,,10,43320,43483,240,,,
351297,2018,68,,12,43320,43521,240,,,
352168,2017,37,,7,42956,43003,240,,,
352274,2017,20,,9,42956,43032,240,I,,
352421,2017,23,,9,42956,43131,240,,,
352753,2018,37,,7,43378,43490,240,,,
353331,2018,68,,12,43320,43332,240,,,
353926,2018,21,,10,43320,43598,240,,,
354292,2018,38,,7,43349,43403,240,,,
355457,2017,31,,8,42956,43040,240,,,
355557,2018,38,,7,43322,43392,240,,,
355786,2017,35,,8,42956,43084,240,,,
356456,2017,27,,11,42965,43231,240,,,
358426,2018,44,,7,43472,43608,240,,,
358695,2017,38,,7,42956,42986,240,,,
359116,2017,25,,9,42989,43244,240,1,,3.07E+11
359125,2018,28,,11,43320,43608,240,,,
361270,2018,35,,8,43348,43494,240,,,
361373,2018,23,,10,43521,43594,240,,,
361632,2017,24,,10,42956,43041,240,,,
361888,2017,20,,11,42956,43151,240,,,
362652,2018,28,,11,43320,43608,240,,,
363029,2018,24,,10,43320,43454,240,I,,
365908,2018,34,,7,43320,43399,240,,,
366364,2018,31,,8,43336,43357,240,,,
366520,2018,23,,9,43495,43553,240,I,,
366844,2017,27,,9,42956,43244,240,,,
366988,2018,24,,12,43320,43475,240,,,
367830,2018,34,,7,43320,43432,240,,,
368064,2017,38,,7,42956,43090,240,,,
368374,2017,27,,10,42965,43236,240,,,
368670,2018,38,,7,43320,43509,240,,,
369096,2017,25,,9,42956,43168,240,,,
369161,2018,25,,10,43320,43521,240,,,
369863,2017,28,,10,42956,43089,240,,,
370040,2018,20,,11,43320,43490,240,,,
371337,2018,23,,10,43334,43399,240,I,,
372076,2018,44,,7,43320,43608,240,,,
372914,2017,22,S,10,42956,43164,240,,,
373347,2017,21,,10,42965,43244,240,,,
374016,2018,35,,7,43320,43574,240,,,
374280,2018,27,,10,43481,43553,240,,,
374339,2017,24,,11,42956,42975,240,,,
374901,2017,25,,11,42956,43024,240,,,
376396,2018,23,,9,43320,43375,240,,,
377600,2017,23,,9,42969,43074,240,,,
377900,2018,37,,7,43385,43455,240,,,
379274,2017,25,,10,43010,43122,240,,,
379799,2018,23,,11,43339,43455,240,,,
379906,2018,25,S,10,43320,43340,240,,,
380820,2018,20,,11,43347,43472,240,,,
382790,2018,22,,10,43348,43364,240,,,
382828,2018,35,,7,43320,43608,240,,,
384701,2018,251,I,12,43374,43405,240,,,
387336,2018,40,,8,43320,43434,240,,,
388101,2017,20,,10,42956,42979,240,,,
388558,2017,28,,10,42956,43000,240,,,
389567,2017,25,,10,42996,43042,240,,,
389567,2018,25,,10,43320,43516,240,,,
390171,2018,22,,10,43368,43413,240,,,
391143,2018,251,I,10,43404,43581,240,I,,
391266,2018,68,,11,43320,43378,240,,,
391342,2018,22,,9,43320,43448,240,,,
392925,2018,25,,9,43375,43511,240,,,
392938,2018,37,,7,43472,43489,240,,,
393492,2018,34,,8,43320,43336,240,,,
393621,2018,40,,8,43326,43357,240,,,
394069,2018,24,,9,43320,43434,240,,,
394723,2017,21,,10,42956,43157,240,I,,
394807,2018,37,,7,43320,43384,240,,,
395004,2018,31,,8,43354,43454,240,,,
395828,2017,37,,7,42989,43125,240,,,
396143,2018,28,,11,43472,43608,240,,,
396264,2018,38,,7,43320,43419,240,,,
396360,2018,24,,12,43320,43420,240,,,
398420,2017,35,,7,43020,43083,240,,,
398528,2017,24,,11,42956,43158,240,,,
398663,2018,22,,11,43332,43496,240,,,
399154,2018,23,,10,43322,43447,240,,,
399454,2018,24,,9,43341,43518,240,,,
400421,2017,31,,8,42956,43108,240,,,
400947,2017,28,,11,42956,43035,240,,,
401232,2018,42,,10,43320,43608,240,,,
402142,2018,37,,8,43377,43532,240,,,
403647,2017,25,,9,43042,43112,240,,,
404513,2017,25,,9,42956,43244,240,,,
405034,2018,44,,7,43320,43608,240,O,,
405781,2017,24,,11,42956,43020,240,,,
406492,2018,27,,12,43325,43399,240,,,
406726,2017,24,,11,42956,43000,240,,,
409504,2018,35,,8,43320,43594,240,,,
411491,2018,35,,8,43320,43584,240,,,
411704,2018,20,,10,43320,43371,240,,,
412167,2017,25,,11,42961,42976,240,,,
414043,2017,25,,10,42990,43116,240,,,
415226,2018,23,,12,43320,43591,240,,,
417998,2018,25,,10,43320,43446,240,,,
420823,2018,37,,7,43320,43361,240,,,
421287,2018,37,,8,43320,43496,240,,,
421920,2018,37,,7,43320,43434,240,,,
423523,2017,32,,7,42956,43137,240,,,
424290,2017,25,,9,42956,43244,240,,,
424702,2017,27,,9,42956,43244,240,,,
425341,2018,21,,11,43472,43500,240,,,
426598,2017,21,,9,42956,43010,240,,,
426832,2017,27,,10,43144,43244,240,,,
427415,2017,20,,10,42956,43108,240,,,
428600,2017,35,,7,42956,43217,240,,,
431211,2018,68,,12,43348,43608,240,,,
434053,2017,25,,10,42956,43077,240,I,,
435264,2017,22,,10,42956,43244,240,,,
435308,2018,40,,7,43320,43399,240,,,
436107,2017,21,,10,43066,43182,240,,,
436291,2017,20,,11,42956,43161,240,,,
436649,2018,37,,8,43500,43553,240,,,
436755,2017,28,,9,42956,43073,240,,,
437320,2018,40,,7,43320,43472,240,O,,3.07E+13
438338,2017,31,,7,43144,43244,240,I,,3.07E+13
441394,2017,20,,9,42983,43045,240,,,
441430,2018,31,,7,43320,43325,240,,,
442401,2018,35,,8,43320,43378,240,,,
442459,2018,44,,8,43320,43588,240,O,,3.07E+13
443389,2018,24,,11,43320,43608,240,I,,
448001,2017,20,,11,42956,43033,240,I,,3.07E+13
448423,2018,40,,8,43320,43413,240,,,
448921,2018,35,,8,43320,43588,240,,,
448952,2018,24,,9,43339,43441,240,,,
449470,2018,44,,8,43320,43608,240,O,,3.07E+13
458173,2017,37,,7,42956,43076,240,,,
468862,2017,44,,8,42956,43118,240,,,
